"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"ACL027","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACL105","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
"ACL144","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACL210","0","0","0","0","0","N","E","N","N","B1","LB","LB","LB","LB","LB","L_B",1
"ACL251","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACL310","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACL373","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACL426","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACL503","0","0","0","0","0","N","E","E","N","N","B1","LB","LB","LB_","LB","LB",1
"ACL505","0","0","0","0","0","N","E","E","E","E","N","E","E","E","N","0",1
"ACL563","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0","0",1
"ACL611","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACL613","0","0","0","0","0","N","E","N","N","B1","0","0","0","0","0","0",1
"ACL623","0","0","0","0","0","N","E","E","N","N","B1","LB","LB","LB","LB","LB",1
"ACL681","0","0","0","0","0","N","E","E","N","B1","LB_","S","L_B","LB","L_B","LB_",1
"ACL710","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0","0",1
"ACL780","0","0","0","0","0","N","E","E","N","B1","L_B_","L_B_","LB","LB","L_B","LB",1
"ACL852","0","0","0","0","0","N","E","N","N","N","B1","N","0","0","0","0",1
"ACL873","0","0","0","0","0","N","E","E","E","N","N","N","E","N","0","0",1
"ACL973","0","0","0","0","0","N","E","E","E","E","E","N","0","0","0","0",1
"ACN011","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
"ACN133","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
"ACN312","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACN413","0","0","0","0","0","N","E","E","N","B1","L_B_","S","LB","LB","LB","LB",1
"ACN513","0","0","0","0","0","N","E","E","E","E","E","E","E","E","E","N",1
"ACN644","0","0","0","0","0","N","E","E","E","E","E","E","N","B1","0","0",1
"ACN664","0","0","0","0","0","N","E","E","E","E","E","E","N","0","0","0",1
"ACN718","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
"ACN762","0","0","0","0","0","N","E","E","E","N","N","0","0","0","0","0",1
"ACN767","0","0","0","0","0","N","E","E","N","N","N","B1","LB","0","0","0",1
"ACN793","0","0","0","0","0","N","E","E","N","B1","S","L_B_","L_B","LB","0","0",1
"ACN837","0","0","0","0","0","N","E","E","E","E","E","E","E","E","E","N",1
"ACN911","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACP017","0","0","0","0","0","0","N","E","E","N","N","N","0","0","0","0",1
"ACP023","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP027","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0",1
"ACP096","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0",1
"ACP134","0","0","0","0","0","0","N","N","0","0","0","0","0","0","0","0",1
"ACP145","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP147","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP174","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP204","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0",1
"ACP276","0","0","0","0","0","0","N","E","N","B1","LB","LB","LB","LB","LB","0",1
"ACP281","0","0","0","0","0","0","N","E","E","E","E","E","E","E","N","B1",1
"ACP294","0","0","0","0","0","0","N","E","N","B1","LB_","L_B","0","0","0","0",1
"ACP320","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0",1
"ACP327","0","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0",1
"ACP385","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP388","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACP422","0","0","0","0","0","0","N","E","E","N","N","0","0","0","0","0",1
"ACP464","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0",1
"ACP554","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0","0",1
"ACP797","0","0","0","0","0","N","E","E","E","E","E","E","E","N","0","0",1
"ACP827","0","0","0","0","0","N","E","E","N","N","N","B1","0","0","0","0",1
"ACP830","0","0","0","0","0","N","E","E","E","E","E","N","0","0","0","0",1
"ACP976","0","0","0","0","0","0","N","E","E","E","E","B1","0","0","0","0",1
"ACR005","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACR055","0","0","0","0","0","N","E","E","N","N","N","B1","N","0","0","0",1
"ACR056","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACR134","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACR281","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACR954","0","0","0","0","0","N","N","0","0","0","0","0","0","0","0","0",1
"ACS335","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0",1
"ACS343","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACS452","0","0","0","0","0","N","E","E","N","N","B1","LB","LB","LB","LB","LB",1
"ACT601","0","0","0","0","0","0","0","N","E","E","N","N","N","N","B1","LB",1
"ACT627","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0",1
"ACT637","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ACT662","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ACT663","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT664","0","0","0","0","0","0","0","N","E","E","N","N","B1","LB","L_B","LB",1
"ACT665","0","0","0","0","0","0","0","N","E","E","E","B1","S","L_B_","S","LB",1
